"pmid","priority","doi","title","year","journal","primary_text_source","source_markdown_path","upload_markdown_path","file_size"
"34012984","high","10.3389/fcvm.2021.665741","Presence of Extra-Criteria Antiphospholipid Antibodies Is an Independent Risk Factor for Ischemic Stroke","2021","Frontiers in cardiovascular medicine","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\34012984__Naranjo_L._2021_Frontiers_in_cardiovascular_Presence_of_Extra-Criteria_A\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_34012984.md","38274"
"34107171","high","10.1111/jth.15417","Effect of heparanase inhibitor on tissue factor overexpression in platelets and endothelial cells induced by anti‐β2‐GPI antibodies","2021","Journal of thrombosis and haemostasis : JTH","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\34107171__Capozzi_A._2021_Journal_of_thrombosis_and_Effect_of_heparanase_inhibitor\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_34107171.md","45359"
"34192956","high","10.1177/09612033211021154","[Sayar Z.] (2021) Lupus — Coexistent antiphospholipid syndrome and myeloproliferative neoplasm.","2021","Lupus","knowhere_pdf_markdown","D:\科研\SH Science Group\综述文献打分\library\knowhere_batch\34192956__Sayar_Z._2021_Lupus_Coexistent_antiphospholipid_syndrome_and_myeloprolif\result\full.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_34192956.md","25901"
"34197876","high","10.1016/j.jbc.2021.100890","An allosteric redox switch in domain V of β 2 -glycoprotein I controls membrane binding and anti-domain I autoantibody recognition","2021","The Journal of biological chemistry","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\34197876__Kumar_S._2021_The_Journal_of_biological_An_allosteric_redox_switch_in_do\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_34197876.md","50777"
"34205545","high","10.3390/jcm10122728","Hypercoagulability Evaluation in Antiphospholipid Syndrome without Anticoagulation Treatment with Thrombin Generation Assay: A Preliminary Study","2021","Journal of clinical medicine","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\34205545__Billoir_P._2021_Journal_of_clinical_medicine_Hypercoagulability_Evaluati\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_34205545.md","14092"
"34208130","high","10.3390/biomedicines9060671","Low Preconception Complement Levels Are Associated with Adverse Pregnancy Outcomes in a Multicenter Study of 260 Pregnancies in 197 Women with Antiphospholipid Syndrome or Carriers of Antiphospholipid Antibodies","2021","Biomedicines","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\34208130__Nalli_C._2021_Biomedicines_Low_Preconception_Complement_Levels_Are_Assoc\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_34208130.md","22567"
"34245429","high","10.1007/s12026-021-09208-1","Cerebrovascular events in patients with isolated anti-phosphatidyl-serine/prothrombin antibodies","2021","Immunologic research","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\34245429__Radin_M._2021_Immunologic_research_Cerebrovascular_events_in_patients_wi\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_34245429.md","20860"
"34261151","high","10.1055/s-0041-1730357","[Szabó G.] (2021) Seminars in thrombosis and… — Laboratory Approaches to Test the Function of Antiphospholipid Antibodies.","2021","Seminars in thrombosis and hemostasis","knowhere_pdf_markdown","D:\科研\SH Science Group\综述文献打分\library\knowhere_batch\34261151__Szabó_G._2021_Seminars_in_thrombosis_and_Laboratory_Approaches_to_Test_t\result\full.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_34261151.md","7956"
"34414220","high","10.3389/fcvm.2021.715878","Use of Direct Oral Anticoagulants in Patients With Antiphospholipid Syndrome: A Systematic Review and Comparison of the International Guidelines","2021","Frontiers in cardiovascular medicine","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\34414220__Pastori_D._2021_Frontiers_in_cardiovascular_Use_of_Direct_Oral_Anticoagu\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_34414220.md","22440"
"34440105","high","10.3390/biomedicines9080901","The Predictive Value of the aCL and Anti-β2GPI at the Time of Acute Deep Vein Thrombosis—A Two-Year Prospective Study","2021","Biomedicines","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\34440105__Perdan-Pirkmajer_K._2021_Biomedicines_The_Predictive_Value_of_the_aCL_an\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_34440105.md","25909"
"34662890","high","10.1182/bloodadvances.2021005808","Apixaban compared with warfarin to prevent thrombosis in thrombotic antiphospholipid syndrome: a randomized trial","2022","Blood advances","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\34662890__Woller_C._2022_Blood_advances_Apixaban_compared_with_warfarin_to_prevent\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_34662890.md","26620"
"34985614","high","10.1007/s11926-021-01038-2","Epidemiology of Antiphospholipid Syndrome in the General Population","2022","Current rheumatology reports","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\34985614__Dabit_Y._2022_Current_rheumatology_reports_Epidemiology_of_Antiphospholi\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_34985614.md","26652"
"35642868","high","10.1093/rheumatology/keac327","Anti-phosphatidylserine/prothrombin antibodies and thrombosis associate positively with HLA-DRB1*13 and negatively with HLA-DRB1*03 in SLE","2023","Rheumatology (Oxford, England)","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\35642868__Elbagir_S._2023_Rheumatology_Oxford_England_Anti-phosphatidylserine_prot\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_35642868.md","27472"
"36012233","high","10.3390/ijms23168973","Determination of Thrombogenicity Levels of Various Antiphospholipid Antibodies by a Modified Thrombin Generation Assay in Patients with Suspected Antiphospholipid Syndrome","2022","International journal of molecular sciences","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\36012233__Bradáčová_P._2022_International_journal_of_Determination_of_Thrombogenic\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_36012233.md","35087"
"36013082","high","10.3390/jcm11164845","Thromboembolic Antiphospholipid Syndrome (APS): Efficacy and Safety of Different Anticoagulants-Results of the APSantiCO Registry","2022","Journal of clinical medicine","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\36013082__Schulz_A._2022_Journal_of_clinical_medicine_Thromboembolic_Antiphospholi\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_36013082.md","34830"
"36074077","high","10.1177/09612033221122147","The use of fondaparinux and rituximab for recurrent thrombotic events in antiphospholipid syndrome","2022","Lupus","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\36074077__Sayar_Z._2022_Lupus_The_use_of_fondaparinux_and_rituximab_for_recurrent_\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_36074077.md","15078"
"36842350","high","10.1016/j.jstrokecerebrovasdis.2023.107034","[Estévez M.] (2023) Journal of stroke and… — Extra-criteria antiphospholipid antibodies in patients with small vessel brain lesions and clinical manifestations associated with antiphospholipid syndrome.","2023","Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association","knowhere_pdf_markdown","D:\科研\SH Science Group\综述文献打分\library\knowhere_results\36842350__Estévez_M._2023_Journal_of_stroke_and_Extra-criteria_antiphospholipid_an\result\full.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_36842350.md","27081"
"37275905","high","10.3389/fimmu.2023.1128245","High-throughput sequencing technology facilitates the discovery of novel biomarkers for antiphospholipid syndrome","2023","Frontiers in immunology","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\37275905__Liu_Q._2023_Frontiers_in_immunology_High-throughput_sequencing_technolog\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_37275905.md","30064"
"37290588","high","10.1016/j.jtha.2023.05.024","[Noordermeer T.] (2023) Journal of thrombosis and… — Anti-β2-glycoprotein I and anti-phosphatidylserine/prothrombin antibodies interfere with cleavage of factor V(a) by activated protein C.","2023","Journal of thrombosis and haemostasis : JTH","knowhere_pdf_markdown","D:\科研\SH Science Group\综述文献打分\library\knowhere_batch\37290588__Noordermeer_T._2023_Journal_of_thrombosis_and_Anti-β2-glycoprotein_I_and\result\full.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_37290588.md","42309"
"37737262","high","10.1172/jci.insight.172011","Ginger intake suppresses neutrophil extracellular trap formation in autoimmune mice and healthy humans","2023","JCI insight","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\37737262__Ali_A._2023_JCI_insight_Ginger_intake_suppresses_neutrophil_extracellula\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_37737262.md","33763"
"37899090","high","10.1136/lupus-2023-001018","Therapy with direct oral anticoagulants for secondary prevention of thromboembolic events in the antiphospholipid syndrome: a systematic review and meta-analysis of randomised trials","2023","Lupus science & medicine","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\37899090__Adelhelm_H._2023_Lupus_science_medicine_Therapy_with_direct_oral_anticoa\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_37899090.md","27956"
"37933818","high","10.1177/09612033231211820","16th International congress on antiphospholipid antibodies task force report on antiphospholipid syndrome laboratory diagnostics and trends","2023","Lupus","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\37933818__Atsumi_T._2023_Lupus_16th_International_congress_on_antiphospholipid_ant\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_37933818.md","41475"
"38163323","high","10.1182/bloodadvances.2023011938","A thrombin-driven neural net diagnoses the antiphospholipid syndrome without the need for interruption of anticoagulation","2024","Blood advances","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\38163323__de_W._2024_Blood_advances_A_thrombin-driven_neural_net_diagnoses_the_ant\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_38163323.md","37125"
"38320594","high","10.1093/rheumatology/kead575","New advances in genomics and epigenetics in antiphospholipid syndrome","2024","Rheumatology (Oxford, England)","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\38320594__López-Pedrera_C._2024_Rheumatology_Oxford_England_New_advances_in_genomi\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_38320594.md","36544"
"38483257","high","10.1093/rheumatology/keae178","Can complement activation be the missing link in antiphospholipid syndrome?","2024","Rheumatology (Oxford, England)","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\38483257__Venturelli_V._2024_Rheumatology_Oxford_England_Can_complement_activation\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_38483257.md","33270"
"38609158","high","10.1136/ard-2024-225664","Disentangling the riddle of systemic lupus erythematosus with antiphospholipid syndrome: blood transcriptome analysis reveals a less-pronounced IFN-signature and distinct molecular profiles in venous versus arterial events","2024","Annals of the rheumatic diseases","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\38609158__Nikolopoulos_D._2024_Annals_of_the_rheumatic_Disentangling_the_riddle_of\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_38609158.md","44237"
"38639399","high","10.1002/advs.202309140","H3K4me3‐Mediated FOXJ2/SLAMF8 Axis Aggravates Thrombosis and Inflammation in β2GPI / Anti‐β2GPI‐Treated Monocytes","2024","Advanced science (Weinheim, Baden-Wurttemberg, Germany)","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\38639399__Tan_Y._2024_Advanced_science_Weinheim_H3K4me3-Mediated_FOXJ2_SLAMF8_Axis\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_38639399.md","53571"
"38999233","high","10.3390/jcm13133667","Neurovascular Issues in Antiphospholipid Syndrome: Arterial Vasculopathy from Small to Large Vessels in a Neuroradiological Perspective","2024","Journal of clinical medicine","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\38999233__Zedde_M._2024_Journal_of_clinical_medicine_Neurovascular_Issues_in_Antip\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_38999233.md","56874"
"39139554","high","10.1016/j.rpth.2024.102468","Rivaroxaban for stroke patients with antiphospholipid syndrome (RISAPS): protocol for a randomized controlled, phase IIb proof-of-principle trial","2024","Research and practice in thrombosis and haemostasis","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\39139554__Mittal_P._2024_Research_and_practice_in_Rivaroxaban_for_stroke_patients_\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_39139554.md","29826"
"39463231","high","10.24976/discov.med.202436189.195","[Di P.] (2024) Discovery medicine — HERV-Derived Syncytin-1 and Syncytin-2 as Sources of Linear and Discontinuous Epitopes in Antiphospholipid Syndrome: A Pivotal Computational Study.","2024","Discovery medicine","knowhere_pdf_markdown","D:\科研\SH Science Group\综述文献打分\library\knowhere_batch\39463231__Di_P._2024_Discovery_medicine_HERV-Derived_Syncytin-1_and_Syncytin-2_as_\result\full.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_39463231.md","86418"
"39742289","high","10.1155/mi/5568822","Inhibiting Tyrosine Kinase 2 Ameliorates Antiphospholipid Syndrome Nephropathy","2024","Mediators of inflammation","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\39742289__Tang_K._2024_Mediators_of_inflammation_Inhibiting_Tyrosine_Kinase_2_Amel\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_39742289.md","19488"
"40406473","high","10.61622/rbgo/2025rbgo23","Prevalence of antiphospholipid syndrome among women with recurrent pregnancy loss: a cohort study","2025","Revista brasileira de ginecologia e obstetricia : revista da Federacao Brasileira das Sociedades de Ginecologia e Obstetricia","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\40406473__de_O._2025_Revista_brasileira_de_Prevalence_of_antiphospholipid_syndrome\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_40406473.md","18165"
"40429322","high","10.3390/jcm14103326","Perspective on Renal Involvement in Antiphospholipid Syndrome: Implications for Diagnosis, Pathogenesis, and Treatment","2025","Journal of clinical medicine","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\40429322__Hoxha_A._2025_Journal_of_clinical_medicine_Perspective_on_Renal_Involvem\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_40429322.md","38013"
"40755140","high","10.1002/art.43341","Prognostic Value of Lupus Anticoagulant and Anti–β2 Glycoprotein I Antibody in Adverse Pregnancy Outcomes","2025","Arthritis & rheumatology (Hoboken, N.J.)","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\40755140__Nonobe_M._2025_Arthritis_rheumatology_Prognostic_Value_of_Lupus_Anticoag\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_40755140.md","34094"
"40766279","high","10.1016/j.bvth.2024.100041","Understanding the structure of β 2 -glycoprotein I: new insights and future paths for antiphospholipid syndrome","2024","Blood vessels, thrombosis & hemostasis","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\40766279__Kumar_S._2024_Blood_vessels_thrombosis_Understanding_the_structure_of_β2\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_40766279.md","36156"
"40821829","high","10.3389/fimmu.2025.1636171","Criteria and non-criteria anti-phospholipid antibodies in the different clinical forms of antiphospholipid syndrome","2025","Frontiers in immunology","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\40821829__Cabrera-Marante_O._2025_Frontiers_in_immunology_Criteria_and_non-criteri\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_40821829.md","39019"
"40878676","high","10.1161/circulationaha.125.073552","[Shi H.] (2025) Circulation — Microvascular Endothelial Cells License APS Vasculopathy Through YAP1- and CCN2-Mediated Signaling.","2025","Circulation","knowhere_pdf_markdown","D:\科研\SH Science Group\综述文献打分\library\knowhere_batch\40878676__Shi_H._2025_Circulation_Microvascular_Endothelial_Cells_License_APS_Vasc\result\full.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_40878676.md","44178"
"40879863","high","10.1007/s11239-025-03158-3","Long-term efficacy and safety of direct oral anticoagulants in venous thrombotic antiphospholipid syndrome patients not candidate to warfarin: A pilot prospective case series study","2025","Journal of thrombosis and thrombolysis","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\40879863__Pastori_D._2025_Journal_of_thrombosis_and_Long-term_efficacy_and_safety_\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_40879863.md","23488"
"40926884","high","10.3389/fphys.2025.1617796","Machine learning-based prediction of adverse pregnancy outcomes in antiphospholipid syndrome using pregnancy antibody levels","2025","Frontiers in physiology","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\40926884__Liu_W._2025_Frontiers_in_physiology_Machine_learning-based_prediction_of\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_40926884.md","39425"
"41107979","high","10.1186/s13293-025-00766-9","βeta-2 glycoprotein I is a novel regulator of Apolipoprotein E containing HDL particles in females","2025","Biology of sex differences","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\41107979__Wang_Y._2025_Biology_of_sex_differences_βeta-2_glycoprotein_I_is_a_novel\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_41107979.md","44320"
"41181143","high","10.3389/fimmu.2025.1676578","A proteomic map of thromboinflammatory signatures in antiphospholipid syndrome: results from antiphospholipid syndrome alliance for clinical trials and international networking (APS ACTION) registry","2025","Frontiers in immunology","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\41181143__Pine_A._2025_Frontiers_in_immunology_A_proteomic_map_of_thromboinflammat\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_41181143.md","46585"
"41420536","high","10.1093/cei/uxaf085","The role of interferon-mediated suppression of monocyte immunothrombosis in infection susceptibility in systemic lupus erythematosus","2026","Clinical and experimental immunology","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\41420536__Murphy_K._2026_Clinical_and_experimental_The_role_of_interferon-mediated\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_41420536.md","37785"
"41475839","high","10.1136/rmdopen-2025-006406","Heterogeneity of antiphospholipid antibody profiles in a clinical cohort and association with distinct clinical features","2025","RMD open","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\41475839__Shen_Z._2025_RMD_open_Heterogeneity_of_antiphospholipid_antibody_profile\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_41475839.md","37441"
"41596541","high","10.3390/ijms27020895","Pulmonary Embolism in Antiphospholipid Syndrome (APS)—Where Are We and Where Are We Going?","2026","International journal of molecular sciences","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\41596541__Lucki_M._2026_International_journal_of_Pulmonary_Embolism_in_Antiphospho\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_41596541.md","33446"
"41630553","high","10.1515/cclm-2025-1565","[Hoxha A.] (2026) Clinical chemistry and… — Antiphosphatidylserine/prothrombin antibodies define a high-risk antiphospholipid syndrome profile associated with organ damage.","2026","Clinical chemistry and laboratory medicine","knowhere_pdf_markdown","D:\科研\SH Science Group\综述文献打分\library\knowhere_batch\41630553__Hoxha_A._2026_Clinical_chemistry_and_Antiphosphatidylserine_prothrombin_\result\full.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_41630553.md","38351"
"41869346","high","10.3389/fimmu.2026.1761613","Genetic determinants of arterial thrombosis in primary antiphospholipid syndrome: a systematic review","2026","Frontiers in immunology","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\41869346__Gavris_C._2026_Frontiers_in_immunology_Genetic_determinants_of_arterial_\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_41869346.md","44703"
"11805148","medium","10.1084/jem.200116116","Complement C3 Activation Is Required for Antiphospholipid Antibody-induced Fetal Loss","2002","The Journal of experimental medicine","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\11805148__Holers_V._2002_The_Journal_of_experimental_Complement_C3_activation_is_r\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_11805148.md","37768"
"11830421","medium","10.1136/ard.61.3.195","[Espinosa G.] (2002) Annals of the rheumatic… — The lung in the antiphospholipid syndrome.","2002","Annals of the rheumatic diseases","knowhere_pdf_markdown","D:\科研\SH Science Group\综述文献打分\library\knowhere_batch\11830421__Espinosa_G._2002_Annals_of_the_rheumatic_The_lung_in_the_antiphospholipi\result\full.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_11830421.md","18824"
"16449315","medium","10.1136/ard.2005.045237","[de B.] (2006) Annals of the rheumatic… — Annexin A5 polymorphism (-1C-->T) and the presence of anti-annexin A5 antibodies in the antiphospholipid syndrome.","2006","Annals of the rheumatic diseases","knowhere_pdf_markdown","D:\科研\SH Science Group\综述文献打分\library\knowhere_retry_five\16449315__de_B._2006_Annals_of_the_rheumatic_Annexin_A5_polymorphism_-1C--_T_and_t\result\full.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_16449315.md","28572"
"16472380","medium","10.1186/1472-6750-6-8","A novel expression system of domain I of human beta2 glycoprotein I in Escherichia coli","2006","BMC biotechnology","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\16472380__Ioannou_Y._2006_BMC_biotechnology_A_novel_expression_system_of_domain_I_\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_16472380.md","31430"
"21179511","medium","10.1371/journal.pone.0015345","A Novel Dimeric Inhibitor Targeting Beta2GPI in Beta2GPI/Antibody Complexes Implicated in Antiphospholipid Syndrome","2010","PloS one","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\21179511__Kolyada_A._2010_PloS_one_A_novel_dimeric_inhibitor_targeting_Beta2GPI_in\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_21179511.md","40336"
"21777436","medium","10.1186/ar3421","Single-step autoantibody profiling in antiphospholipid syndrome using a multi-line dot assay","2011","Arthritis research & therapy","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\21777436__Egerer_K._2011_Arthritis_research_therapy_Single-step_autoantibody_profi\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_21777436.md","31878"
"22161465","medium","10.1055/s-0031-1293206","[Ernest M.] (2011) Seminars in reproductive… — Obstetric antiphospholipid syndrome: an update on pathophysiology and management.","2011","Seminars in reproductive medicine","knowhere_pdf_markdown","D:\科研\SH Science Group\综述文献打分\library\knowhere_results\22161465__Ernest_M._2011_Seminars_in_reproductive_Obstetric_antiphospholipid_syndr\result\full.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_22161465.md","4882"
"24741580","medium","10.1155/2014/239398","Revisiting the Molecular Mechanism of Neurological Manifestations in Antiphospholipid Syndrome: Beyond Vascular Damage","2014","Journal of immunology research","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\24741580__Carecchio_M._2014_Journal_of_immunology_research_Revisiting_the_molecula\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_24741580.md","28510"
"24982803","medium","10.1155/2014/868652","CD8+DR+ T-Cells and C3 Complement Serum Concentration as Potential Biomarkers in Thrombotic Antiphospholipid Syndrome","2014","Autoimmune diseases","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\24982803__Sarmiento_E._2014_Autoimmune_diseases_CD8_DR_T-Cells_and_C3_Complement_S\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_24982803.md","25210"
"25166960","medium","10.1186/ar4549","Antiphospholipid syndrome in 2014: more clinical manifestations, novel pathogenic players and emerging biomarkers","2014","Arthritis research & therapy","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\25166960__Meroni_P._2014_Arthritis_research_therapy_Antiphospholipid_syndrome_in_2\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_25166960.md","35796"
"26000103","medium","10.1007/s13317-010-0004-6","[Espinosa G.] (2010) Auto- immunity highlights — Management of the antiphospholipid syndrome.","2010","Auto- immunity highlights","knowhere_pdf_markdown","D:\科研\SH Science Group\综述文献打分\library\knowhere_retry_five\26000103__Espinosa_G._2010_Auto-_immunity_highlights_Management_of_the_antiphospho\result\full.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_26000103.md","30838"
"26078985","medium","10.1155/2015/975704","Anti-Phosphatidylserine/Prothrombin Antibodies Are Associated with Adverse Pregnancy Outcomes","2015","Journal of immunology research","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\26078985__Žigon_P._2015_Journal_of_immunology_research_Anti-Phosphatidylserine_Pro\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_26078985.md","25501"
"26185769","medium","10.1155/2015/638129","The Pathogenicity of Anti- β 2GP1-IgG Autoantibodies Depends on Fc Glycosylation","2015","Journal of immunology research","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\26185769__Fickentscher_C._2015_Journal_of_immunology_research_The_Pathogenicity_of\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_26185769.md","38200"
"27158525","medium","10.1136/lupus-2015-000134","Placental histology and neutrophil extracellular traps in lupus and pre-eclampsia pregnancies","2016","Lupus science & medicine","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\27158525__Marder_W._2016_Lupus_science_medicine_Placental_histology_and_neutrophil\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_27158525.md","33084"
"27457513","medium","10.1136/annrheumdis-2016-209770","EULAR recommendations for women's health and the management of family planning, assisted reproduction, pregnancy and menopause in patients with systemic lupus erythematosus and/or antiphospholipid syndrome","2016","Annals of the rheumatic diseases","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\27457513__Andreoli_L._2016_Annals_of_the_rheumatic_EULAR_recommendations_for_women\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_27457513.md","29170"
